"Simulation 1 x [R = 75m, d = 25m, Regolith = 2m]","Simulation 1 gcorr [R = 75m, d = 25m, Regolith = 2m]","Simulation 1 noise [R = 75m, d = 25m, Regolith = 2m]","Simulation 2 x [R = 75m, d = 30m, Regolith = 2m]","Simulation 2 gcorr [R = 75m, d = 30m, Regolith = 2m]","Simulation 2 noise [R = 75m, d = 30m, Regolith = 2m]","Simulation 3 x [R = 75m, d = 35m, Regolith = 2m]","Simulation 3 gcorr [R = 75m, d = 35m, Regolith = 2m]","Simulation 3 noise [R = 75m, d = 35m, Regolith = 2m]","Simulation 4 x [R = 75m, d = 40m, Regolith = 2m]","Simulation 4 gcorr [R = 75m, d = 40m, Regolith = 2m]","Simulation 4 noise [R = 75m, d = 40m, Regolith = 2m]","Simulation 5 x [R = 75m, d = 45m, Regolith = 2m]","Simulation 5 gcorr [R = 75m, d = 45m, Regolith = 2m]","Simulation 5 noise [R = 75m, d = 45m, Regolith = 2m]"
-978.75,31.23976731634128,0.05466829371086618,-978.75,31.224091104612633,-0.026972933299118918,-978.75,31.223582345023058,-0.014655245037220894,-978.75,31.223076854100235,-0.07879625253091532,-978.75,31.222574707837907,0.0539832782117246
-973.75,31.218346308250016,-0.054242719119838016,-973.75,31.202767627395108,-0.09336296509119787,-973.75,31.202252821018153,-0.024915960312102164,-973.75,31.201741321578922,-0.027062764459481872,-973.75,31.201233206772713,0.0007571380203109484
-968.75,31.19697903409197,-0.01545783777750841,-968.75,31.181497596856353,-0.05583562572718005,-968.75,31.180976653047697,0.0689117772797332,-968.75,31.180459055178922,-0.11391570078397265,-968.75,31.179944882691796,-0.018623080991367304
-963.75,31.175670077438713,0.0005602592842540515,-963.75,31.160285596700042,0.019988488953067266,-963.75,31.15975842288284,0.05334203691652341,-963.75,31.15923463475754,0.00018767363955560768,-963.75,31.158714313558818,0.0040184268050857536
-958.75,31.154423784608863,-0.024127111225123486,-958.75,31.13913597330819,-0.027056872478419192,-958.75,31.138602474923253,0.02798546526897061,-958.75,31.138072402751224,0.034841171455305874,-958.75,31.137545839867798,-0.026801020731855186
-953.75,31.133244275564977,-0.03202359344171074,-953.75,31.118052846637614,0.02659263920987916,-953.75,31.117512927091653,-0.00770521876944674,-953.75,31.116976475068707,-0.03739307484473493,-953.75,31.116443575534845,0.006071887996355162
-948.75,31.112135454309243,-0.01594896347070349,-948.75,31.09704012061435,-0.028669067878432417,-948.75,31.096493681226917,-0.058310796734543674,-948.75,31.095950751482214,0.010472658592156637,-948.75,31.095411418287753,0.04139182162736409
-943.75,31.091101018799222,-0.07237755161593443,-943.75,31.076101493048718,0.13080965156892418,-943.75,31.075548432997266,-0.01446309147288697,-943.75,31.074998925539123,-0.025577921786762665,-943.75,31.07445305957592,-0.0344172230080994
-938.75,31.07014447040799,-0.07716250763015102,-938.75,31.055240465094112,-0.08901352762529892,-938.75,31.054680681357294,-0.10895039265351565,-938.75,31.054124494017106,-0.024520598078924136,-938.75,31.053571994023812,-0.020584455339879154
-933.75,31.049269122947994,-0.06944377373260234,-933.75,31.034460350269736,0.03637091653473775,-933.75,31.03389373756882,-0.01962444639387851,-933.75,31.033330765943358,0.013991753870204474,-933.75,31.03277152844839,-0.05338138772726189
