"Simulation 1 x [R = 75m, d = 25m, Regolith = 2m, H = 10m]","Simulation 1 gcorr [R = 75m, d = 25m, Regolith = 2m, H = 10m]","Simulation 1 noise [R = 75m, d = 25m, Regolith = 2m, H = 10m]","Simulation 2 x [R = 75m, d = 30m, Regolith = 2m, H = 20m]","Simulation 2 gcorr [R = 75m, d = 30m, Regolith = 2m, H = 20m]","Simulation 2 noise [R = 75m, d = 30m, Regolith = 2m, H = 20m]","Simulation 3 x [R = 75m, d = 35m, Regolith = 2m, H = 30m]","Simulation 3 gcorr [R = 75m, d = 35m, Regolith = 2m, H = 30m]","Simulation 3 noise [R = 75m, d = 35m, Regolith = 2m, H = 30m]","Simulation 4 x [R = 75m, d = 40m, Regolith = 2m, H = 40m]","Simulation 4 gcorr [R = 75m, d = 40m, Regolith = 2m, H = 40m]","Simulation 4 noise [R = 75m, d = 40m, Regolith = 2m, H = 40m]","Simulation 5 x [R = 75m, d = 45m, Regolith = 2m, H = 50m]","Simulation 5 gcorr [R = 75m, d = 45m, Regolith = 2m, H = 50m]","Simulation 5 noise [R = 75m, d = 45m, Regolith = 2m, H = 50m]"
-708.75,30.248547102122036,-0.03695734964210621,-708.75,30.22892083985799,-0.010701198859063794,-708.75,30.209378478275042,-0.0025761110371964914,-708.75,30.189921967033325,0.04456676644939524,-708.75,30.17055323051371,0.036897464143626914
-703.75,30.233112467657,-0.06481818038594973,-703.75,30.213452604535473,0.05228042086003757,-703.75,30.193878038216972,0.08250785997576748,-703.75,30.174390755300713,-0.06931102770387798,-703.75,30.154992716304132,-0.01586382415546248
-698.75,30.21780427824971,0.011673387346682398,-698.75,30.198109873132626,-0.0171099576181563,-698.75,30.17850219140598,0.13120713788919244,-698.75,30.158983257675292,-0.021093298158418747,-698.75,30.139555069631164,-0.0032493803745905223
-693.75,30.20262238615179,-0.040443945339209295,-693.75,30.182892472875583,0.03192463636969394,-693.75,30.163250740942683,-0.02955429045944505,-693.75,30.14369925407291,-0.09137965514032619,-693.75,30.12424004820604,-0.0854640052828596
-688.75,30.187566626167985,0.013670986726518026,-688.75,30.16780021261773,-0.041474702401186704,-688.75,30.1481234706627,-0.009035288125939732,-688.75,30.12853850428777,0.017229047956492383,-688.75,30.109047388799066,0.09287744959125135
-683.75,30.17263681654405,-0.04464164231796147,-683.75,30.15283288368706,0.06352842834492421,-683.75,30.133120145945014,-0.06677668715942278,-683.75,30.11350074876324,-0.02573033080538505,-683.75,30.093976807974684,0.01260090392314481
-678.75,30.15783275981245,-0.05083054722065289,-678.75,30.137990260689264,-0.04670617589671178,-678.75,30.11824051447396,-0.07480730471006446,-678.75,30.098585709314758,0.06371397311651052,-678.75,30.07902800277697,-0.02819448180984868
-673.75,30.143154243598858,0.004929672723521062,-673.75,30.123272102269404,-0.011584535045350168,-673.75,30.103484306957924,0.0036885417148247272,-673.75,30.083793089806964,-0.00014694292188434022,-673.75,30.06420065136736,0.056253418417807344
-668.75,30.128601041390652,-0.02745896067699104,-668.75,30.108678151833203,-0.04700535692615768,-668.75,30.088851237805045,0.09989317070673834,-668.75,30.0691225767861,0.04186729346162979,-668.75,30.04949441361551,0.0033540441018531926
-663.75,30.114172913268618,0.07036186325074902,-663.75,30.09420813822914,-0.023195241992515308,-663.75,30.074341005757613,0.0951882404817575,-663.75,30.054573840068542,0.00410094079940498,-663.75,30.034908931644345,0.0724392356066778
-658.75,30.09986960660395,-0.007958486551238242,-658.75,30.079861776393077,0.025613414157564247,-658.75,30.059953294486462,-0.010177153366821203,-658.75,30.04014653328702,0.01500169542153625,-658.75,30.02044383033016,-0.04902015161511073
-653.75,30.085690856721545,-0.034144254098141494,-653.75,30.065638767956546,-0.09380375562063863,-653.75,30.045687773146078,0.028980159035272735,-653.75,30.025840294395014,-0.027503422526915823,-653.75,30.00609871775903,-0.029184943395231783
-648.75,30.07163638753077,0.04945583022107719,-648.75,30.051538801819426,0.002066333827531377,-648.75,30.031544096891587,0.02538302162138851,-648.75,30.011654746130258,-0.05115594322857181,-648.75,29.991873185638912,0.10515739760538204
-643.75,30.05770591212586,-0.03019673264679655,-643.75,30.037561554689148,0.005090326184104888,-643.75,30.01752190735903,0.036753886666311165,-643.75,29.997589496438646,0.052323913911674375,-643.75,29.977766809670204,-0.07566587447480926
-638.75,30.043899133355758,-0.0365768913305408,-638.75,30.023706691585925,0.03207441095438259,-638.75,30.00362083310852,-0.037006664273341844,-638.75,29.98364413885795,-0.03897038777155895,-638.75,29.963779149872853,-0.03852528374735553
-633.75,30.030215744365883,-0.0058328718888391706,-633.75,30.00997386631657,0.022350950837733877,-633.75,29.98984049003255,0.0609635522899744,-633.75,29.969818252863504,-0.0053041209078182475,-633.75,29.94990975087226,0.004962159166555059
-628.75,30.01665542911246,-0.05537706565134401,-628.75,29.996362721916807,0.05268781094355701,-628.75,29.9761804817292,-0.02465828129707766,-628.75,29.9561114041752,-0.006604741747823191,-628.75,29.93615814214332,-0.03377695171025067
-623.75,30.003217862849866,0.11480248532941512,-623.75,29.98287289106273,0.04915708761443199,-623.75,29.962640399840655,-0.004944194084150991,-623.75,29.942523145026247,0.06151710946263925,-623.75,29.92252383821294,-0.031248267145718395
-618.75,29.98990271259319,-0.03465810221484609,-618.75,29.96950399645329,-0.028392789588172387,-618.75,29.94921982435853,0.07654374379726135,-618.75,29.92905301439473,0.06038868810061376,-618.75,29.90900633882113,-0.02372988904191705
