"Simulation 1 x [R = 50m, d = 45m, Regolith = 2m]","Simulation 1 gcorr [R = 50m, d = 45m, Regolith = 2m]","Simulation 1 noise [R = 50m, d = 45m, Regolith = 2m]","Simulation 2 x [R = 100m, d = 45m, Regolith = 2m]","Simulation 2 gcorr [R = 100m, d = 45m, Regolith = 2m]","Simulation 2 noise [R = 100m, d = 45m, Regolith = 2m]","Simulation 3 x [R = 150m, d = 45m, Regolith = 2m]","Simulation 3 gcorr [R = 150m, d = 45m, Regolith = 2m]","Simulation 3 noise [R = 150m, d = 45m, Regolith = 2m]","Simulation 4 x [R = 200m, d = 45m, Regolith = 2m]","Simulation 4 gcorr [R = 200m, d = 45m, Regolith = 2m]","Simulation 4 noise [R = 200m, d = 45m, Regolith = 2m]","Simulation 5 x [R = 250m, d = 45m, Regolith = 2m]","Simulation 5 gcorr [R = 250m, d = 45m, Regolith = 2m]","Simulation 5 noise [R = 250m, d = 45m, Regolith = 2m]"
-268.75,29.27470123011836,-0.0012970134938984786,-268.75,29.198255304817444,-0.07172599640091486,-268.75,29.103767196117364,0.011059402753285194,-268.75,28.9624699429574,-0.0028627649091414794,-268.75,28.684078493934596,-0.013257894942309723
-263.75,29.267681245634016,0.02420743660413464,-263.75,29.189426191958063,0.04522699440844431,-263.75,29.091539095742387,-0.07865990201808966,-263.75,28.941770762115,0.08485055633266471,-263.75,28.637949074507546,0.038442061944640046
-258.75,29.260992623906745,0.04401997255497545,-258.75,29.180817377314824,0.0314362566496158,-258.75,29.07923630976575,0.06585944641069964,-258.75,28.919984403833002,0.012845061212129548,-258.75,28.58811850251013,-0.04120459568679311
-253.75,29.254738379782022,-0.012136847453138868,-253.75,29.172524118782004,-0.06896079273425153,-253.75,29.06692020834467,0.033537983511540456,-253.75,28.89702191210849,-0.03350064262955084,-253.75,28.53465057258697,-0.00586665411141627
-248.75,29.249073178685055,-0.03143034736541891,-248.75,29.164692958720025,-0.06118788031870751,-248.75,29.054698736624157,0.011635840725202575,-248.75,28.87281869327749,-0.010556161829590186,-248.75,28.47784796635436,-0.04593878038560498
-243.75,29.244235626438023,-0.028708938929298822,-243.75,29.15755385532483,-0.07954114803232293,-243.75,29.042757555793642,-0.013986188576067921,-243.75,28.847364355629363,-0.04288980156419056,-243.75,28.418313597566385,-0.06462242189264734
-238.75,29.240604589078753,0.03430670384338482,-238.75,29.151475770161603,0.1148301572714916,-238.75,29.031413828443537,-0.04380361539858684,-238.75,28.820756252543763,0.008436274911391446,-238.75,28.35700606729524,0.00796134630413525
-233.75,29.238796430905737,-0.03783189960789864,-233.75,29.147061251811312,0.02683758349544751,-233.75,29.0212066165279,-0.021483827588858778,-233.75,28.79329034306192,0.06670392723310656,-233.75,28.29529535756205,0.0247008252507997
-228.75,29.23981079831964,-0.07911809253053635,-228.75,29.145283078755302,0.05486237431546899,-228.75,29.013021685799032,0.016006421707859455,-228.75,28.76558315864512,0.0367698504068212,-228.75,28.2350099696119,-0.01793831705943147
-223.75,29.245058038693383,0.0339593538973929,-223.75,29.147479717858403,-0.026803183281538884,-223.75,29.008048666340795,-0.05775658041299116,-223.75,28.738503965808388,-0.02142328765964441,-223.75,28.178250271351228,0.08772951842864635
-218.75,29.254534946614086,-0.03439450103534462,-218.75,29.153417312185663,-0.06465800828442095,-218.75,29.005710438024934,0.046298688681439604,-218.75,28.710983850248784,0.012321043401315271,-218.75,28.12501419254396,0.00638787776512376
-213.75,29.24819776633778,-0.01675288034227784,-213.75,29.14231096294318,-0.09149277909760883,-213.75,28.98427889559595,0.009273789574867542,-213.75,28.66023081679162,-0.12154614089068681,-213.75,28.05314483386824,-0.04087639032822066
-208.75,29.242188206673404,-0.02071396676002021,-208.75,29.150254619201196,-0.029757088915233283,-208.75,29.006765453552756,0.009181192758820345,-208.75,28.66115952665845,-0.13674737981896115,-208.75,27.941186973167365,0.025431761332964695
-203.75,29.254899247454006,-0.031726489548992494,-203.75,29.159372680623026,0.006630602432244457,-203.75,29.005331117741747,0.0957772566058757,-203.75,28.617469043027224,0.09297152678819008,-203.75,27.888052301682656,-0.024065174093404803
-198.75,29.22526570927351,0.009219400408668919,-198.75,29.12441843213427,0.06842437928823296,-198.75,28.956593714140975,0.04397761857854911,-198.75,28.5198701891538,0.005538478328832079,-198.75,27.79082401400761,0.012308202611645058
-193.75,29.200928487376284,-0.025530234179668085,-193.75,29.09397078740652,-0.048773921320708645,-193.75,28.909967115781825,0.03961106639018013,-193.75,28.42023448627891,0.07241097949036497,-193.75,27.70144304739252,0.04785494061441503
-188.75,29.182542421558335,0.015723229797257664,-188.75,29.068889792795662,0.037365325769782964,-188.75,28.86624407639634,-0.02897451028733139,-188.75,28.32142825575777,-0.040285702648051806,-188.75,27.621471515564856,0.017564016791058325
